siteID,lat,lon,elev,slp,temp,sky,dpt,wx,wdr,wsp
KDAN,36.573,-79.336,175.0,1009.3,18.3,0.0,1.1,,250.0,12.0
KDBQ,42.402,-90.71,326.0,1009.8,3.3,0.25,-1.7,,220.0,4.0
KDCU,34.653,-86.945,176.0,1017.1,19.4,0.0,0.6,,290.0,10.0
KDEN,39.862,-104.673,1640.0,1003.5,15.0,0.25,-10.6,,nan,3.0
KDEQ,34.05,-94.4,106.0,1013.7,24.4,0.0,6.7,,220.0,14.0
KDET,42.409,-83.01,190.0,1007.4,8.9,0.0,-1.7,,290.0,12.0
KDEW,47.967,-117.433,674.0,1020.8,5.0,0.0,-3.3,,210.0,14.0
KDFI,41.003,-84.433,219.0,1010.9,7.2,0.0,-0.6,,240.0,8.0
KDFW,32.897,-97.038,174.0,1012.4,25.6,0.25,6.1,,190.0,17.0
KDGW,42.8,-105.383,1499.0,1011.9,-1.1,0.25,-5.0,-SN,350.0,19.0
KDHN,31.321,-85.45,113.0,1019.6,21.7,0.0,0.6,,340.0,5.0
KDHT,36.023,-102.547,1217.0,1005.2,17.2,0.0,-5.0,,230.0,23.0
KDKK,42.493,-79.272,202.0,1006.1,2.2,1.0,0.0,,230.0,18.0
KDLN,45.25,-112.55,1591.0,1018.4,-1.7,0.5,-12.8,,270.0,22.0
KDLS,45.618,-121.167,71.0,1028.2,8.9,0.25,2.2,,270.0,11.0
KAUS,30.194,-97.67,166.0,1016.5,25.0,0.25,12.8,,180.0,18.0
KAWM,35.133,-90.233,65.0,1016.4,18.3,0.0,3.9,,220.0,10.0
KAXN,45.866,-95.395,433.0,1004.6,2.2,1.0,-1.7,,100.0,6.0
KAZO,42.235,-85.552,272.0,1009.8,7.8,0.0,-3.3,,280.0,12.0
KBAF,42.158,-72.716,83.0,1000.8,2.8,1.0,0.0,,190.0,8.0
KBAK,39.262,-85.896,200.0,1013.55,11.0,0.0,-1.0,,330.0,10.0
KBBW,41.433,-99.633,776.0,1005.1,12.8,0.0,1.7,,260.0,11.0
KBCE,37.706,-112.145,2312.0,1015.6,7.2,0.0,-8.3,,310.0,18.0
KBDE,48.728,-94.612,329.0,1004.9,1.1,0.25,-3.9,,330.0,6.0
KBEH,42.133,-86.417,191.0,1010.8,5.6,0.0,-0.6,,250.0,13.0
KBFF,41.874,-103.596,1203.0,1008.8,7.2,1.0,-1.1,,340.0,16.0
KBFI,47.53,-122.302,4.0,1025.6,9.4,0.5,1.7,,220.0,10.0
KBFM,30.627,-88.068,20.0,1020.4,20.0,0.0,-6.7,,130.0,6.0
KBGM,42.209,-75.98,490.0,999.32,0.0,0.5,-1.1,UP,240.0,7.0
KBGR,44.807,-68.828,57.0,998.5,3.3,1.0,-1.1,,270.0,3.0
KBHM,33.563,-86.754,197.0,1018.5,21.7,0.0,-1.7,,250.0,11.0
KBIL,45.808,-108.543,1091.0,1012.5,5.0,0.25,-7.8,,280.0,20.0
KBIV,42.743,-86.107,208.0,1009.6,5.0,0.0,-0.6,,260.0,14.0
KBKE,44.837,-117.809,1024.0,1025.9,5.0,0.5,-6.1,,320.0,6.0
KBKL,41.518,-81.683,184.0,1009.1,5.6,0.75,0.6,,250.0,13.0
KBKV,28.467,-82.45,20.0,1018.6,23.9,0.0,9.4,,300.0,11.0
KBLI,48.793,-122.538,50.0,1024.9,7.8,0.0,2.8,,210.0,8.0
KBMG,39.146,-86.617,257.0,1013.7,11.7,0.0,-1.7,,nan,4.0
KBMQ,30.739,-98.239,389.0,1015.7,24.4,0.0,10.6,,180.0,14.0
KBNA,36.125,-86.678,210.0,1016.0,20.6,0.0,-0.6,,280.0,5.0
KBNO,43.592,-118.955,1264.0,1026.4,3.3,0.0,-5.0,,240.0,6.0
KBOI,43.564,-116.223,875.0,1025.9,6.1,0.25,-7.8,,310.0,17.0
KBPI,42.585,-110.111,2117.0,1018.4,-1.1,0.0,-13.3,,320.0,18.0
KBPK,36.369,-92.47,280.0,1012.1,22.8,0.0,-4.4,,240.0,10.0
KJEF,38.591,-92.156,168.0,1010.8,18.9,0.0,1.7,,150.0,6.0
KJER,42.717,-114.45,1222.0,1024.2,3.9,0.0,-7.8,,290.0,25.0
KJKL,37.594,-83.317,416.0,1013.7,15.6,0.0,-0.6,,nan,6.0
KJLN,37.152,-94.498,299.0,1010.2,22.2,0.0,-3.9,,190.0,17.0
KJQF,35.388,-80.709,210.0,1013.55,18.0,0.0,0.0,,230.0,10.0
KJSO,31.867,-95.217,206.0,1017.27,23.2,0.0,5.8,,220.0,11.0
KLAN,42.779,-84.587,264.0,1008.1,6.7,0.0,-1.1,,250.0,18.0
KLAR,41.312,-105.675,2216.0,1006.5,5.0,0.25,-10.0,,270.0,40.0
KLAW,34.568,-98.417,337.0,1010.5,19.4,0.0,1.7,,200.0,13.0
KLAX,33.943,-118.408,46.0,1016.5,21.1,0.25,5.0,,270.0,9.0
KLBB,33.664,-101.823,993.0,1008.5,23.9,0.25,-8.3,,240.0,18.0
KLBF,41.126,-100.684,847.0,1006.5,12.8,0.0,-1.7,,270.0,11.0
KLBX,29.109,-95.462,6.0,1019.1,24.4,0.0,8.9,,190.0,12.0
KLCH,30.126,-93.223,4.0,1020.6,22.2,0.0,2.2,,180.0,9.0
KLEB,43.626,-72.304,171.0,998.8,3.9,0.5,-3.3,,200.0,6.0
KLFK,31.234,-94.75,88.0,1017.2,24.4,0.0,7.8,,160.0,7.0
KLFT,30.205,-91.988,11.0,1019.8,21.7,0.0,-0.6,,150.0,6.0
KLGB,33.818,-118.152,10.0,1016.4,22.8,0.0,1.1,,210.0,6.0
KLHQ,39.75,-82.007,260.0,1012.9,7.2,0.0,0.0,,270.0,7.0
KLIT,34.729,-92.224,79.0,1015.5,23.3,0.25,1.7,,220.0,12.0
KLLQ,33.639,-91.751,83.0,1016.9,21.7,0.0,0.0,,220.0,9.0
KLMT,42.156,-121.733,1246.0,1026.6,6.7,0.0,-10.0,,nan,4.0
KLND,42.815,-108.73,1694.0,1009.4,5.6,0.0,-12.8,,270.0,18.0
KLNS,40.122,-76.296,125.0,1003.9,8.9,0.75,-0.6,,260.0,12.0
KLOL,40.066,-118.565,1189.0,1026.1,11.1,0.0,-5.0,,nan,3.0
KLOU,38.228,-85.664,164.0,1014.2,16.1,0.0,-3.9,,250.0,6.0
KLOZ,37.082,-84.085,362.0,1014.7,15.0,0.0,0.6,,260.0,10.0
KLPR,41.344,-82.178,241.0,1009.9,5.6,0.0,-0.6,,270.0,12.0
KLRU,32.289,-106.922,1358.0,1017.61,21.4,0.0,-12.1,,250.0,11.0
KLSE,43.879,-91.257,199.0,1008.4,5.6,0.75,-1.1,,340.0,3.0
KLUK,39.103,-84.419,155.0,1013.9,12.2,0.0,0.0,,280.0,12.0
