BGTM,62.417,-42.25,10
BGUK,72.79,-56.131,127
BGUP,72.767,-56.002,63
BGUQ,70.734,-52.696,2
BIAR,65.66,-18.073,27
BIBD,65.641,-23.546,6
BIEG,65.283,-14.401,38
BIGR,66.546,-18.017,16
BIHN,64.296,-15.227,7
BIHU,65.952,-17.426,7
BIIS,66.058,-23.135,3
BIKA,65.933,-36.683,56
BIKF,63.985,-22.606,54
BIKR,65.732,-19.573,3
BIRG,66.45,-15.933,10
BIRK,64.13,-21.941,61
BIST,65.067,-22.717,8
BIVM,63.424,-20.279,124
BIVO,65.721,-14.851,48
BKPR,42.573,21.036,576
BMKA,63.433,-51.183,41
CACQ,47.017,-65.467,31
CAHR,46.35,-63.002,53
CBBC,52.183,-128.15,43
CERM,47.417,-68.317,154
CMBB,45.617,-74.417,75
CMBR,45.317,-73.917,22
CMCT,45.003,-73.583,39
CMCW,45.017,-73.867,262
CMFM,47.317,-71.15,672
CMGB,45.367,-72.767,86
CMHB,45.633,-75.2,105
CMHN,45.8,-74.65,168
CMHW,45.002,-73.867,42
CMLA,45.067,-73.008,61
CMLI,45.867,-74.217,31
CMPD,45.883,-74.1,175
CMPL,45.3,-74.3,56
CMRG,45.417,-73.05,54
CMRI,45.483,-74.3,30
CMRU,45.05,-73.8,65
CMRY,45.117,-73.683,59
CMSB,45.217,-73.017,49
CMSC,46.2,-72.45,55
CMSX,45.183,-73.617,59
CMWD,46.017,-73.817,210
CMYT,45.133,-73.767,55
CNGH,70.633,-100.267,20
CPBT,49.567,-113.05,980
CPEH,50.183,-112.433,801
CPFI,49.8,-112.033,833
CPIR,49.9,-112.733,858
CPQL,49.683,-112.75,903
CPRO,50.008,-112.05,714
CPRY,49.483,-112.683,937
CPST,51.033,-113.283,967
CPSV,49.917,-110.917,766
CPXL,49.867,-111.383,799
CTAE,45.55,-74.883,57
CTAL,45.317,-74.617,77
CTCK,45.25,-74.967,85
CTCW,45.033,-74.683,58
CTNK,45.533,-78.267,410
CTPP,18.567,-72.317,38
CTRA,49.007,-93.733,435
CTWN,45.05,-75.003,75
CVBI,49.467,-94.033,394
CWAB,48.283,-88.867,218
CWAC,48.007,-124.008,41
CWAD,50.833,-125.2,4
CWAE,50.133,-122.95,658
CWAF,48.067,-69.533,5
CWAG,49.917,-55.007,192
